Site,Season,Size (mm),Eggs (Y/N),Number of Eggs,Juveniles (Y/N),Number of Juveniles,Size of Juveniles (mm)
FB005A,Spring,4.858,N,0,N,0,0
FB005A,Spring,7.972,N,0,N,0,0
FB005A,Spring,6.046,N,0,N,0,0
FB005A,Spring,11.761,Y,21,N,0,0
FB005A,Spring,5.557,N,0,N,0,0
FB005A,Spring,5.84,N,0,N,0,0
FB005A,Spring,5.831,N,0,N,0,0
FB005A,Spring,5.085,N,0,N,0,0
FB005A,Spring,5.404,N,0,N,0,0
FB005A,Spring,6.206,N,0,N,0,0
FB005A,Spring,9.092,N,0,N,0,0
FB005A,Spring,11.798,Y,18,N,0,0
FB005A,Spring,6.602,N,0,N,0,0
FB005A,Spring,11.584,Y,5,N,0,0
FB005A,Spring,6.478,N,0,N,0,0
FB005A,Spring,7.749,N,0,N,0,0
FB005A,Spring,6.86,N,0,N,0,0
FB005A,Spring,13.237,Y,4,N,0,0
FB005A,Spring,9.906,Y,5,N,0,0
FB005A,Spring,10.921,N,0,N,0,0
FB005A,Spring,7.372,N,0,N,0,0
FB005A,Spring,4.626,N,0,N,0,0
FB005A,Spring,9.094,N,0,N,0,0
FB005A,Spring,9.639,N,0,N,0,0
FB005A,Spring,4.326,N,0,N,0,0
FB005A,Spring,6.176,N,0,N,0,0
FB005A,Spring,3.506,N,0,N,0,0
FB005A,Spring,4.706,N,0,N,0,0
FB005A,Spring,6.3,N,0,N,0,0
FB005A,Spring,6.705,N,0,N,0,0
FB005A,Spring,6.678,N,0,N,0,0
FB005A,Spring,7.312,N,0,N,0,0
FB005A,Spring,4.689,N,0,N,0,0
FB005A,Spring,8.177,N,0,N,0,0
FB005A,Spring,9.295,N,0,N,0,0
FB005A,Spring,10.445,Y,1,N,0,0
FB005A,Spring,8.028,N,0,N,0,0
FB005A,Spring,11.146,N,0,N,0,0
FB005A,Spring,9.558,Y,8,N,0,0
FB005A,Spring,8.727,N,0,N,0,0
FB005A,Spring,10.957,Y,11,N,0,0
FB005A,Spring,11.066,Y,11,N,0,0
FB005A,Spring,5.242,N,0,N,0,0
FB005A,Spring,6.259,N,0,N,0,0
FB005A,Spring,12.248,N,0,N,0,0
FB005A,Spring,5.646,N,0,N,0,0
FB005A,Spring,4.992,N,0,N,0,0
FB005A,Spring,10.008,Y,11,N,0,0
FB005A,Spring,5.484,N,0,N,0,0
FB005A,Spring,12.129,Y,17,N,0,0
FB005A,Spring,12.35,Y,8,N,0,0
FB005A,Spring,5.847,N,0,N,0,0
FB005A,Spring,6.897,N,0,N,0,0
FB005A,Spring,4.061,N,0,N,0,0
FB005A,Spring,9.837,N,0,N,0,0
FB005A,Spring,7.894,N,0,N,0,0
FB005A,Spring,11.549,Y,17,N,0,0
FB005A,Spring,9.385,N,0,N,0,0
FB005A,Spring,4.496,N,0,N,0,0
FB005A,Spring,9.551,Y,10,N,0,0
FB005A,Spring,5.878,N,0,N,0,0
FB005A,Spring,6.554,N,0,N,0,0
FB005A,Spring,10.678,Y,7,N,0,0
FB005A,Spring,11.72,Y,7,N,0,0
FB005A,Spring,8.166,N,0,N,0,0
FB005A,Spring,9.237,N,0,N,0,0
FB005A,Spring,6.644,N,0,N,0,0
FB005A,Spring,10.219,N,0,N,0,0
FB005A,Spring,5.841,N,0,N,0,0
FB005A,Summer,5.084,N,0,N,0,0
FB005A,Summer,3.294,N,0,N,0,0
FB005A,Summer,11.383,N,0,N,0,0
FB005A,Summer,11.237,Y,6,N,0,0
FB005A,Summer,7.073,N,0,N,0,0
FB005A,Summer,4.658,N,0,N,0,0
FB005A,Summer,10.959,Y,9,N,0,0
FB005A,Summer,4.278,N,0,N,0,0
FB005A,Summer,5.323,N,0,N,0,0
FB005A,Summer,10.023,N,0,N,0,0
FB005A,Summer,6.792,Y,1,N,0,0
FB005A,Summer,5.223,N,0,N,0,0
FB005A,Summer,10.006,Y,5,N,0,0
FB005A,Summer,3.248,N,0,N,0,0
FB005A,Summer,5.268,N,0,N,0,0
FB005A,Summer,5.286,N,0,N,0,0
FB005A,Summer,4.995,N,0,N,0,0
FB005A,Summer,5.849,N,0,N,0,0
FB005A,Summer,9.011,N,0,N,0,0
FB005A,Summer,9.792,Y,7,N,0,0
FB005A,Summer,3.318,N,0,N,0,0
FB005A,Summer,9.508,Y,1,N,0,0
FB005A,Summer,11.915,Y,10,N,0,0
FB005A,Summer,4.475,N,0,N,0,0
FB005A,Summer,3.451,N,0,N,0,0
FB005A,Summer,10.064,Y,5,N,0,0
FB005A,Summer,4.961,N,0,N,0,0
FB005A,Summer,4.136,N,0,N,0,0
FB005A,Summer,4.262,N,0,N,0,0
FB005A,Summer,5.405,N,0,N,0,0
FB005A,Summer,6.702,N,0,N,0,0
FB005A,Summer,7.73,N,0,N,0,0
FB005A,Summer,4.618,N,0,N,0,0
FB005A,Summer,4.279,N,0,N,0,0
FB005A,Summer,2.102,N,0,N,0,0
FB005A,Summer,4.169,N,0,N,0,0
FB005A,Summer,5.329,N,0,N,0,0
FB005A,Summer,4.92,N,0,N,0,0
FB005A,Summer,4.682,N,0,N,0,0
FB005A,Summer,9.529,Y,7,N,0,0
FB005A,Summer,3.496,N,0,N,0,0
FB005A,Summer,4.776,N,0,N,0,0
FB005A,Summer,5.243,N,0,N,0,0
FB005A,Summer,5.037,N,0,N,0,0
FB005A,Summer,7.261,N,0,N,0,0
FB005A,Summer,8.774,N,0,N,0,0
FB005A,Summer,4.702,N,0,N,0,0
FB005A,Summer,4.254,N,0,N,0,0
FB005A,Summer,4.453,N,0,N,0,0
FB005A,Summer,5.963,N,0,N,0,0
FB005A,Summer,4.604,N,0,N,0,0
FB005A,Summer,4.411,N,0,N,0,0
FB005A,Summer,11.001,Y,7,N,0,0
FB005A,Summer,3.236,N,0,N,0,0
FB005A,Summer,3.69,N,0,N,0,0
FB005A,Summer,12.552,Y,1,N,0,0
FB005A,Summer,10.573,N,0,N,0,0
FB005A,Summer,4.285,N,0,N,0,0
FB005A,Summer,4.575,N,0,N,0,0
FB005A,Summer,5.149,N,0,N,0,0
FB005A,Summer,10.754,Y,3,N,0,0
FB005A,Summer,12.032,N,0,N,0,0
FB005A,Summer,12.783,Y,7,N,0,0
FB005A,Summer,11.39,N,0,N,0,0
FB005A,Summer,4.032,N,0,N,0,0
FB005A,Summer,13.345,Y,21,N,0,0
FB005A,Summer,5.554,N,0,N,0,0
FB005A,Summer,8.818,N,0,N,0,0
FB005A,Summer,6.517,N,0,N,0,0
FB005A,Summer,6.041,N,0,N,0,0
FB005A,Summer,11.273,Y,8,N,0,0
FB005A,Summer,6.93,N,0,N,0,0
FB005A,Summer,12.426,N,0,N,0,0
FB005A,Summer,7.642,N,0,N,0,0
FB005A,Summer,4.147,N,0,N,0,0
FB005A,Summer,5.919,N,0,N,0,0
FB005A,Summer,8.011,N,0,N,0,0
FB005A,Summer,3.749,N,0,N,0,0
FB005A,Summer,2.959,N,0,N,0,0
FB005A,Summer,3.917,N,0,N,0,0
FB005A,Summer,12.373,Y,11,N,0,0
FB005A,Summer,4.302,N,0,N,0,0
FB005A,Summer,5.828,N,0,N,0,0
FB005A,Summer,11.671,Y,12,N,0,0
FB005A,Summer,6.296,N,0,N,0,0
FB005A,Summer,12.213,Y,3,N,0,0
FB005A,Summer,4.365,N,0,N,0,0
FB005A,Summer,3.142,N,0,N,0,0
FB005A,Summer,8.658,N,0,N,0,0
FB005A,Summer,11.801,N,0,N,0,0
FB005A,Summer,10.276,Y,9,N,0,0
FB005A,Summer,10.048,Y,8,N,0,0
FB005A,Summer,7.08,N,0,N,0,0
FB005A,Summer,10.269,Y,17,N,0,0
FB005A,Summer,3.745,N,0,N,0,0
FB005A,Summer,4.775,N,0,N,0,0
FB005A,Summer,3.718,N,0,N,0,0
FB005A,Summer,4.378,N,0,N,0,0
FB005A,Summer,3.84,N,0,N,0,0
FB005A,Summer,11.515,Y,6,N,0,0
FB005A,Autumn,4.926,N,0,N,0,0
FB005A,Autumn,11.132,Y,5,N,0,0
FB005A,Autumn,5.345,N,0,N,0,0
FB005A,Autumn,4.888,N,0,N,0,0
FB005A,Autumn,5.392,N,0,N,0,0
FB005A,Autumn,5.81,N,0,N,0,0
FB005A,Autumn,6.121,N,0,N,0,0
FB005A,Autumn,4.303,N,0,N,0,0
FB005A,Autumn,7.409,N,0,N,0,0
FB005A,Autumn,4.424,N,0,N,0,0
FB005A,Autumn,7.65,N,0,N,0,0
FB005A,Autumn,10.57,N,0,N,0,0
FB005A,Autumn,7.719,N,0,N,0,0
FB005A,Autumn,7.737,N,0,N,0,0
FB005A,Autumn,8.706,N,0,N,0,0
FB005A,Autumn,5.789,N,0,N,0,0
FB005A,Autumn,5.082,N,0,N,0,0
FB005A,Autumn,9.281,N,0,N,0,0
FB005A,Autumn,5.298,N,0,N,0,0
FB005A,Autumn,8.583,N,0,N,0,0
FB005A,Autumn,5.799,N,0,N,0,0
FB005A,Autumn,5.955,N,0,N,0,0
FB005A,Autumn,5.079,N,0,N,0,0
FB005A,Autumn,5.309,N,0,N,0,0
FB005A,Autumn,5.917,N,0,N,0,0
FB005A,Autumn,5.049,N,0,N,0,0
FB005A,Autumn,5.754,N,0,N,0,0
FB005A,Autumn,7.026,N,0,N,0,0
FB005A,Autumn,6.563,N,0,N,0,0
FB005A,Autumn,11.065,N,0,N,0,0
FB005A,Autumn,11.395,N,0,N,0,0
FB005A,Autumn,4.434,N,0,N,0,0
FB005A,Autumn,5.111,N,0,N,0,0
FB005A,Autumn,6.166,N,0,N,0,0
FB005A,Autumn,4.43,N,0,N,0,0
FB005A,Autumn,6.393,N,0,N,0,0
FB005A,Autumn,10.711,Y,11,N,0,0
FB005A,Autumn,8.942,N,0,N,0,0
FB005A,Autumn,7.485,N,0,N,0,0
FB005A,Autumn,6.477,N,0,N,0,0
FB005A,Autumn,9.638,N,0,N,0,0
FB005A,Autumn,11.277,Y,2,Y,1,1.445
FB005A,Autumn,5.862,N,0,N,0,0
FB005A,Autumn,9.097,N,0,N,0,0
FB005A,Autumn,7.164,N,0,N,0,0
FB005A,Autumn,8.103,N,0,N,0,0
FB005A,Autumn,7.046,N,0,N,0,0
FB005A,Autumn,6.059,N,0,N,0,0
FB005A,Autumn,6.495,N,0,N,0,0
FB005A,Autumn,4.793,N,0,N,0,0
FB005A,Autumn,5.238,N,0,N,0,0
FB005A,Autumn,8.758,N,0,N,0,0
FB005A,Autumn,8.395,N,0,N,0,0
FB005A,Autumn,5.275,N,0,N,0,0
FB005A,Autumn,6.392,N,0,N,0,0
FB005A,Autumn,4.679,N,0,N,0,0
FB005A,Autumn,9.367,N,0,N,0,0
FB005A,Autumn,10.905,Y,7,N,0,0
FB005A,Autumn,10.612,N,0,N,0,0
FB005A,Autumn,9.565,N,0,N,0,0
FB005A,Autumn,10.726,Y,8,N,0,0
FB005A,Autumn,4.763,N,0,N,0,0
FB005A,Autumn,6.794,N,0,N,0,0
FB005A,Autumn,8.329,N,0,N,0,0
FB005A,Autumn,10.563,Y,1,N,0,0
FB005A,Autumn,10.72,N,0,N,0,0
FB005A,Autumn,5.617,N,0,N,0,0
FB005A,Autumn,7.942,N,0,N,0,0
FB005A,Autumn,5.756,N,0,N,0,0
FB005A,Autumn,5.771,N,0,N,0,0
FB005A,Autumn,6.201,N,0,N,0,0
FB005A,Autumn,5.394,N,0,N,0,0
FB005A,Autumn,8.668,N,0,N,0,0
FB005A,Autumn,4.982,N,0,N,0,0
FB005A,Autumn,6.377,N,0,N,0,0
FB005A,Autumn,11.309,N,0,N,0,0
FB005A,Autumn,6.074,N,0,N,0,0
FB005A,Autumn,8.558,N,0,N,0,0
FB005A,Autumn,4.879,N,0,N,0,0
FB005A,Autumn,4.939,N,0,N,0,0
FB005A,Autumn,5.386,N,0,N,0,0
FB005A,Autumn,6.552,Y,1,N,0,0
FB005A,Autumn,6.17,N,0,N,0,0
FB005A,Autumn,4.821,N,0,N,0,0
FB005A,Autumn,6.533,N,0,N,0,0
FB005A,Autumn,6.413,N,0,N,0,0
FB005A,Autumn,5.51,N,0,N,0,0
FB005A,Autumn,6.484,N,0,N,0,0
FB005A,Autumn,4.95,N,0,N,0,0
FB005A,Autumn,7.554,N,0,N,0,0
FB005A,Autumn,6.856,N,0,N,0,0
FB005A,Autumn,6.396,N,0,N,0,0
FB005A,Autumn,4.326,N,0,N,0,0
FB005A,Autumn,5.149,N,0,N,0,0
FB005A,Autumn,4.468,N,0,N,0,0
FB005A,Autumn,4.49,N,0,N,0,0
FB005A,Autumn,5.21,N,0,N,0,0
FB005A,Autumn,3.087,N,0,N,0,0
FB005A,Autumn,7.886,N,0,N,0,0
FB005A,Autumn,8.257,N,0,N,0,0
